"","Year","SchoolDist","Population","Male","Female","Hispanic","White","Black","Native","Asian","Chinese","Japanese","UnemployRate","Laborforce","IncPerCap","TotalStu","MaleStu","AsianStu","BlackStu","HispanicStu","WhiteStu","SWD","ELL","Poverty","FELONY","MISDEMEANOR","VIOLATION","ARSON","ASSAULT3","BURGLARY","MISCHIEF_MISD","MISCHIEF_FELO","DRUG","DRUG_MISD","DRUG_FELO","FELONY_ASSAULT","FORGERY","FRAUDS","GRAND_LARCENY","HARRASSMENT2","MURDER","PETIT_LARCENY","ROBBERY","THEFT_FRAUD","WEAPON","WEAPON_MISD","WEAPON_FELO","VIOLENT_CRIME","VIOLENCE","WHITE_COLLAR","COMPLETED","ATTEMPTED","TOTAL_CRIME","RAPE","SEX_CRIMES","Total4","GradRate4","DropOutRate4","ELANumTest3","ELAMeanScore3","ELAL1Pct3","ELAL2Pct3","ELAL3Pct3","ELAL4Pct3","ELAL34Pct3","ELANumTest4","ELAMeanScore4","ELAL1Pct4","ELAL2Pct4","ELAL3Pct4","ELAL4Pct4","ELAL34Pct4","ELANumTest5","ELAMeanScore5","ELAL1Pct5","ELAL2Pct5","ELAL3Pct5","ELAL4Pct5","ELAL34Pct5","ELANumTest6","ELAMeanScore6","ELAL1Pct6","ELAL2Pct6","ELAL3Pct6","ELAL4Pct6","ELAL34Pct6","ELANumTest7","ELAMeanScore7","ELAL1Pct7","ELAL2Pct7","ELAL3Pct7","ELAL4Pct7","ELAL34Pct7","ELANumTest8","ELAMeanScore8","ELAL1Pct8","ELAL2Pct8","ELAL3Pct8","ELAL4Pct8","ELAL34Pct8","MATNumTest3","MATMeanScore3","MATL1Pct3","MATL2Pct3","MATL3Pct3","MATL4Pct3","MATL34Pct3","MATNumTest4","MATMeanScore4","MATL1Pct4","MATL2Pct4","MATL3Pct4","MATL4Pct4","MATL34Pct4","MATNumTest5","MATMeanScore5","MATL1Pct5","MATL2Pct5","MATL3Pct5","MATL4Pct5","MATL34Pct5","MATNumTest6","MATMeanScore6","MATL1Pct6","MATL2Pct6","MATL3Pct6","MATL4Pct6","MATL34Pct6","MATNumTest7","MATMeanScore7","MATL1Pct7","MATL2Pct7","MATL3Pct7","MATL4Pct7","MATL34Pct7","MATNumTest8","MATMeanScore8","MATL1Pct8","MATL2Pct8","MATL3Pct8","MATL4Pct8","MATL34Pct8"
"1","2011","1",119536,47.6,52.4,29.3,53,10.3,0.6,20.6,15.2,0.8,5.3,61.7,39458.5,13020,0.501,0.233,0.173,0.423,0.156,0.178,0.116,0.718,1994.38,4295.78,813.14,18.4,641.65,224.2,622.41,85.33,691.01,575.56,115.45,211.65,41.83,30.12,811.47,789.72,5.02,1263.22,219.18,75.29,156.44,101.22,55.21,435.85,2765.69,968.75,6978.65,124.65,7103.3,21.75,51.87,1069,56.9,13.8,813,665,12.7,32.6,45.6,9.1,54.7,853,672,9.5,36.7,49.2,4.6,53.8,858,668,9.9,37.5,45.8,6.8,52.6,814,662,13.3,38,41.8,7,48.8,767,663,8.9,48.4,38.6,4.2,42.8,878,653,9.1,50.6,39.1,1.3,40.3,826,689,9.4,29.9,38.6,22,60.7,865,690,6.2,27.5,34.2,32,66.2,875,687,7.4,28.1,36.3,28.1,64.5,828,685,9.7,29.6,29,31.8,60.7,774,684,8.1,26.5,27.4,38,65.4,893,677,10.4,36.2,29.7,23.7,53.4
"2","2011","2",720023,47.1,52.9,9.2,74.1,4.3,0.2,16.3,8.7,1.2,4,72.3,93354.3,62319,0.477,0.235,0.182,0.351,0.213,0.14,0.112,0.637,2523.25,4508.47,577.2,5.28,471.51,239.3,364.16,85,302.35,252.63,49.72,139.58,92.36,72.08,1503.15,558.87,1.53,2282.7,175.13,114.02,81.94,54.16,27.78,316.24,1940.08,1788.42,7476.29,132.63,7608.92,16.67,97.22,9416,63.6,11.4,2485,671,6.2,21.6,62.8,9.5,72.3,2362,684,4.2,21.8,66.6,7.5,74,2471,674,7.2,22.8,60.5,9.6,70,2245,668,8.3,23.7,60,7.9,68,2222,670,6.3,31,55.6,7.2,62.7,2195,660,6.3,34.5,56.9,2.3,59.2,2498,698,3.3,16.2,51.2,29.3,80.5,2378,708,2.4,11.7,32.4,53.4,85.9,2499,703,3.2,13.6,34.3,48.8,83.1,2253,697,4.7,16.4,29,49.8,78.8,2239,695,4.2,17.7,25.8,52.3,78.1,2231,691,4.6,19.9,40.7,34.7,75.4
"3","2011","3",270544,45.9,54.1,15.7,66.6,16.1,0.4,8.1,3,0.9,4.4,66.1,72027.6,23157,0.464,0.076,0.281,0.348,0.274,0.141,0.071,0.601,1288.88,2699.01,574.03,9.24,407.7,94.25,306.79,25.5,393.28,345.23,48.05,123.82,28.46,43.25,565.16,557.77,4.07,910.39,171.51,106.82,68.38,43.62,24.76,299.4,1725.41,744.06,4460.27,101.65,4561.92,15.52,51.01,2597,62.5,11.4,1394,667,9.5,29.5,52,9,61,1375,676,7.2,33.7,53.8,5.3,59.1,1355,670,9.9,32.8,49.3,8,57.3,1286,666,9.7,30.3,52.9,7.1,60,1218,667,6.8,41,45.8,6.4,52.2,1245,656,7,46.6,44.7,1.7,46.4,1401,691,7.2,28.8,42.5,21.5,64,1394,694,4.5,26.5,32.1,36.8,68.9,1377,690,5.9,28.7,34.5,30.9,65.4,1293,692,6.3,25,30.9,37.8,68.8,1230,684,8,26.4,28,37.6,65.6,1260,680,8.9,29.5,38.3,23.3,61.6
"4","2011","4",90692,47.2,52.8,54.9,29.4,34.4,1.2,5.7,2.8,0.4,7,53.6,20797.1,14325,0.486,0.058,0.278,0.622,0.029,0.202,0.116,0.88,2183.21,6219.95,1222.82,29.77,1115.86,160.98,786.18,51.82,1236.05,1072.86,163.19,394.74,89.31,71.67,427.82,1176.51,8.82,1030.96,328.58,74.98,358.36,198.47,159.88,732.15,4264.98,701.27,9479.34,146.65,9625.99,48.52,116.88,964,63.8,9.1,1145,657,20.3,38.8,38.3,2.6,40.9,1082,668,8.8,39.7,50.3,1.2,51.5,1078,665,12.1,45.2,40,2.8,42.8,1073,656,20.5,41.8,37,0.7,37.7,1109,657,13.2,58.3,27.9,0.6,28.5,1132,647,12.5,61.5,25.4,0.5,26,1160,682,13.2,38.4,39.7,8.6,48.4,1091,683,5.9,35.8,38.6,19.7,58.3,1089,679,6.2,38.7,41.4,13.8,55.2,1081,671,12.3,40.3,34.2,13.1,47.4,1118,666,13.7,39.4,31.9,15,47,1146,667,14.1,41.3,34.4,10.2,44.6
"5","2011","5",132592,45.6,54.4,29.4,16.5,61.5,0.9,3,1.2,0.3,8.2,58.8,23821.8,13985,0.499,0.025,0.553,0.384,0.028,0.166,0.108,0.838,2701.52,7054.72,1319.84,24.13,1254.98,232.29,662.94,85.98,1454.08,1240.65,213.44,445.73,96.54,100.31,616.93,1269.31,11.31,1520.45,419.33,84.47,387.66,205.89,181.76,876.37,4573.43,1016.65,10866.42,209.67,11076.08,30.92,88.24,992,61.6,10.7,935,651,26.6,44.8,27.6,1,28.6,985,658,16.4,50.4,33.2,0,33.2,892,660,18.7,48.5,31.1,1.7,32.7,998,653,25.6,44.4,28.9,1.2,30.1,1064,654,19.2,56.9,23,0.9,24,1175,646,14.1,58.6,26.8,0.5,27.3,959,674,22.1,43,31.5,3.4,34.9,1015,669,14,42.9,33.1,10,43.2,905,670,10.9,47,34.1,8,42.1,1010,667,17.1,43.2,25.9,13.8,39.7,1092,661,17.9,43.8,25.9,12.4,38.3,1192,665,16.7,40.8,31.1,11.4,42.5
"6","2011","6",241870,48,52,68.1,34,18.3,1.4,2.7,0.8,0.2,9.1,65.7,22499.4,26419,0.513,0.011,0.073,0.878,0.033,0.14,0.336,0.921,1616.57,3095.88,651.18,6.2,653.66,211.68,468.43,26.46,561.87,449,112.87,240.63,68.63,26.87,386.57,633.81,6.2,593.71,303.06,72.35,181.09,109.15,71.94,549.88,2488.94,555.26,5258.2,105.43,5363.63,23.98,52.09,1160,61,11.4,2069,654,23.4,41.1,34.2,1.3,35.5,2111,659,14.1,48.6,36.8,0.5,37.3,1822,662,17.2,44.4,35.9,2.5,38.4,1854,652,26.8,44.7,27.9,0.6,28.6,2114,654,18.9,57.3,23.3,0.6,23.8,2190,643,17.5,61.6,20.7,0.2,20.9,2162,678,16.5,42.8,35.1,5.6,40.7,2241,677,8.7,38.3,39.2,13.7,53,1952,675,10.3,38.7,38.6,12.3,51,1978,669,15.2,39.4,32.1,13.3,45.4,2215,668,12.4,39,32.5,16.1,48.6,2340,668,12.9,40.6,35.7,10.7,46.4
"7","2011","7",116840,50.9,49.1,64.8,21.6,38.6,1.8,1,0.3,0,7.4,49.2,12198.8,20396,0.529,0.01,0.284,0.69,0.009,0.2,0.179,0.904,2521.4,6900.89,1259.84,67.61,1217.05,246.49,921.77,37.66,1569.67,1290.65,279.01,454.47,35.95,29.96,565.73,1237.59,17.97,1442.14,386,46.22,408.25,279.87,128.38,858.44,4757.79,681.27,10540.05,142.07,10682.13,28.24,111.26,1973,50.1,14.1,1298,652,25.8,45.3,28.2,0.7,28.9,1347,657,16.9,51.1,31.5,0.5,32,1257,658,20.8,50.6,27,1.6,28.6,1365,650,29.2,48.8,22,0.1,22.1,1346,650,21,63.1,15.8,0.1,16,1377,640,19.2,65.4,15.3,0,15.3,1330,676,19.5,46.8,31.1,2.6,33.7,1377,669,12.4,46.5,31.3,9.8,41.1,1294,668,13.7,46.1,32.5,7.7,40.2,1393,663,19.7,45,26.6,8.6,35.2,1373,659,19.8,44.3,25.9,10.1,35.9,1397,659,19.1,47.8,28.1,4.9,33.1
"8","2011","8",213811,46.7,53.3,56.5,38.3,27.5,1.3,3.4,0.7,0,7.3,57.1,20539.3,32216,0.507,0.047,0.252,0.633,0.061,0.196,0.116,0.871,2092.5,5110.12,1016.32,25.26,939.15,267.99,709.97,50.98,1038.77,914.83,123.94,344.7,34.14,42.56,547.68,997.14,9.82,870.86,289.98,89.33,250.22,185.21,65.01,644.49,3847.79,714.18,8109.97,108.97,8218.94,17.77,78.11,2787,44,21.9,2290,655,21.4,42.3,34.9,1.4,36.3,2333,661,15.2,44.1,39.8,0.9,40.7,2420,662,14.9,44.7,38.3,2.1,40.4,2322,654,23.9,42.5,32.6,1.1,33.7,2357,653,18.6,58.8,21.8,0.7,22.6,2353,645,13.7,61.3,24.8,0.2,24.9,2337,680,15.2,39.1,40.4,5.3,45.7,2364,679,9.5,35.5,37.8,17.2,55,2467,678,8.8,34.3,41.6,15.4,57,2346,666,18,40.3,30.5,11.2,41.6,2391,661,17.8,40.9,28.3,13,41.3,2405,664,15.6,42.3,34.2,7.9,42.1
"9","2011","9",229693,46.9,53.1,62.6,17.4,41.3,1.5,1.4,0.1,0,10.1,57.5,12607.9,35864,0.509,0.013,0.314,0.661,0.006,0.174,0.243,0.943,1961.31,5555.68,815.87,33.09,1013.09,210.72,578.6,32.22,1520.29,1293.47,226.82,366.58,80.11,57.47,394.44,804.55,11.75,785.83,318.25,58.77,466.27,363.09,103.18,696.58,3513.82,592.53,8223.59,109.28,8332.86,22.64,82.28,2231,56,12.9,2878,652,25.7,43,30.7,0.6,31.2,2775,657,15.5,52,32,0.6,32.5,2662,658,20.8,49.8,28.2,1.1,29.3,2795,650,30.1,46.3,23.1,0.4,23.5,2808,651,21.5,60.7,17.5,0.2,17.7,2925,641,19.4,62.1,18.5,0.1,18.6,2967,677,17.8,43.6,34.5,4.1,38.6,2862,671,11.9,45.3,33,9.7,42.7,2740,671,12.1,42.6,35.8,9.5,45.3,2914,664,17.8,44.1,29.2,8.9,38.2,2891,660,18.5,43.4,28.3,9.8,38.1,3039,661,19.1,44.8,30.5,5.6,36.1
"10","2011","10",351321,46.9,53.1,59,33.8,24.6,1.4,4.8,0.6,0.1,9.2,61.6,19789.3,58997,0.507,0.076,0.189,0.672,0.057,0.169,0.213,0.854,1853.01,4440.95,738.64,16.22,815.21,253.33,575.83,70.88,851.36,734.66,116.7,249.91,76.28,33.02,488.44,719.85,8.54,995.39,309.12,59.49,317.94,231.7,86.25,567.57,2988.44,662.64,6908.5,124.1,7032.6,17.36,67.18,4824,59.9,13.9,3919,655,21.5,40.8,35.7,2,37.7,4043,661,13.7,46,39.8,0.5,40.3,4003,661,16,48.8,32.9,2.3,35.2,3764,653,23.2,44.3,31.7,0.8,32.5,3773,654,18.8,55.6,24.9,0.7,25.6,3798,645,14.9,59.7,25.1,0.2,25.4,4048,681,14.3,40.1,38.3,7.3,45.6,4175,676,8.5,39.5,38,14,52,4134,677,9.1,37.5,39.7,13.7,53.4,3873,670,13.7,38.7,34.3,13.3,47.6,3886,665,14.7,40.9,29.8,14.6,44.4,3908,665,14.3,42.6,35,8.1,43.1
